iso3	continent	name_short	un_region
PSE	Asia	Palestine	Western Asia
PAN	America	Panama	Central America
PNG	Oceania	Papua New Guinea	Melanesia
PRY	America	Paraguay	South America
PER	America	Peru	South America
PHL	Asia	Philippines	South-eastern Asia
PCN	Oceania	Pitcairn	Polynesia
POL	Europe	Poland	Eastern Europe
PRT	Europe	Portugal	Southern Europe
PRI	America	Puerto Rico	Caribbean
QAT	Asia	Qatar	Western Asia
REU	Africa	Reunion	Eastern Africa
ROU	Europe	Romania	Eastern Europe
RUS	Europe	Russia	Eastern Europe
RWA	Africa	Rwanda	Eastern Africa
MAF	America	Saint-Martin	Caribbean
WSM	Oceania	Samoa	Polynesia
SMR	Europe	San Marino	Southern Europe
STP	Africa	Sao Tome and Principe	Middle Africa
SAU	Asia	Saudi Arabia	Western Asia
SEN	Africa	Senegal	Western Africa
SRB	Europe	Serbia	Southern Europe
SYC	Africa	Seychelles	Eastern Africa
SLE	Africa	Sierra Leone	Western Africa
SGP	Asia	Singapore	South-eastern Asia
SXM	America	Sint Maarten	Caribbean
SVK	Europe	Slovakia	Eastern Europe
SVN	Europe	Slovenia	Southern Europe
SLB	Oceania	Solomon Islands	Melanesia
SOM	Africa	Somalia	Eastern Africa
ZAF	Africa	South Africa	Southern Africa
SGS	Antarctica	South Georgia and South Sandwich Is.	South America
KOR	Asia	South Korea	Eastern Asia
SSD	Africa	South Sudan	Eastern Africa
ESP	Europe	Spain	Southern Europe
LKA	Asia	Sri Lanka	Southern Asia
BLM	America	St. Barths	Caribbean
SHN	Africa	St. Helena	Western Africa
KNA	America	St. Kitts and Nevis	Caribbean
LCA	America	St. Lucia	Caribbean
SPM	America	St. Pierre and Miquelon	Northern America
VCT	America	St. Vincent and the Grenadines	Caribbean
SDN	Africa	Sudan	Northern Africa
SUR	America	Suriname	South America
SJM	Europe	Svalbard and Jan Mayen Islands	Northern Europe
SWE	Europe	Sweden	Northern Europe
CHE	Europe	Switzerland	Western Europe
SYR	Asia	Syria	Western Asia
TWN	Asia	Taiwan	Eastern Asia
TJK	Asia	Tajikistan	Central Asia
TZA	Africa	Tanzania	Eastern Africa
THA	Asia	Thailand	South-eastern Asia
TLS	Asia	Timor-Leste	South-eastern Asia
TGO	Africa	Togo	Western Africa
TKL	Oceania	Tokelau	Polynesia
TON	Oceania	Tonga	Polynesia
TTO	America	Trinidad and Tobago	Caribbean
TUN	Africa	Tunisia	Northern Africa
TUR	Asia	Türkiye	Western Asia
TKM	Asia	Turkmenistan	Central Asia
TCA	America	Turks and Caicos Islands	Caribbean
TUV	Oceania	Tuvalu	Polynesia
UGA	Africa	Uganda	Eastern Africa
UKR	Europe	Ukraine	Eastern Europe
ARE	Asia	United Arab Emirates	Western Asia
GBR	Europe	United Kingdom	Northern Europe
USA	America	United States	Northern America
UMI	Oceania	United States Minor Outlying Islands	Micronesia
VIR	America	United States Virgin Islands	Caribbean
URY	America	Uruguay	South America
UZB	Asia	Uzbekistan	Central Asia
VUT	Oceania	Vanuatu	Melanesia
VAT	Europe	Vatican	Southern Europe
VEN	America	Venezuela	South America
VNM	Asia	Vietnam	South-eastern Asia
WLF	Oceania	Wallis and Futuna Islands	Polynesia
ESH	Africa	Western Sahara	Northern Africa
YEM	Asia	Yemen	Western Asia
ZMB	Africa	Zambia	Eastern Africa
ZWE	Africa	Zimbabwe	Eastern Africa
